Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,AVERAGE_POINTS,Dream_11_2024_avg,Weighted_Score,RECENT_FORM
Spencer Johnson,6.5,Bowler,Kolkata Knight Riders,3,6,7,1,0,0,85.71428571,66.66666667,5,96,151,4,37.75,9.44,24,27.6,18.25,38,26.9895,20.16667
Luvnith Sisodia,5.5,Batter,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,7.5,Batter,Kolkata Knight Riders,110,1534,925,164,97,17.04,165.8378378,80.70404172,175,4075,4571,180,25.39,6.73,22.64,48.89714,72.9,46,55.7006558,62
Anukul Sudhakar Roy,6,All-rounder,Kolkata Knight Riders,6,26,24,3,0,8.67,108.3333333,46.15384615,9,136,191,5,38.2,8.43,27.2,22,42,16,26.88,32
Moeen Ali,7,All-rounder,Kolkata Knight Riders,57,1162,821,95,67,22.78,141.5347138,67.29776248,52,758,893,35,25.51,7.07,21.66,53.75439,41.75,46,48.3270633,37.875
Umran Malik,6,Bowler,Kolkata Knight Riders,6,23,16,1,2,11.5,143.75,69.56521739,26,493,772,29,26.62,9.4,17,37.19231,0,0,37.19231,0
Nicholas Pooran,8.5,Wicketkeeper/Batter,Lucknow Super Giants,73,1769,1090,112,127,32.16,162.293578,68.40022612,0,0,0,0,0,0,0,42.17808,91.8,66,62.8016976,86.54167
Ravi Bishnoi,8,Bowler,Lucknow Super Giants,15,32,50,2,0,4,64,25,65,1411,1836,63,29.14,7.81,22.4,31.63077,40.4,42,36.6304619,38.54167
Mayank Yadav,7.5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,4,73,85,7,12.14,6.99,10.43,74.75,82,0,79.1,52
Mohsin Khan,7,Bowler,Lucknow Super Giants,5,25,24,2,1,8.33,104.1666667,56,23,486,689,27,25.52,8.51,18,39.26087,0,0,39.26087,0
Ayush Badoni,7,Batter,Lucknow Super Giants,35,634,473,46,24,24.38,134.038055,51.73501577,5,25,36,2,18,8.64,12.5,31.45714,50.4,31,37.2288558,51.41667
Rishabh Pant,9,Wicketkeeper/Batter,Lucknow Super Giants,110,3284,2205,296,154,35.31,148.9342404,64.19001218,0,0,0,0,0,0,0,50.38182,27.2,50,43.1114554,29.54167
David Miller,8,Batter,Lucknow Super Giants,124,2924,2100,207,134,36.1,139.2380952,55.81395349,0,0,0,0,0,0,0,37.95161,31,41,36.4672567,26.70833
Mitchell Marsh,8,Batter,Lucknow Super Giants,36,665,521,48,38,19.56,127.6391555,63.15789474,34,560,795,37,21.49,8.52,15.14,63.02778,83.77778,47,65.9341684,79.64583
Aiden Markram,8,All-rounder,Lucknow Super Giants,42,995,767,73,35,30.15,129.726206,50.45226131,14,121,172,2,86,8.53,60.5,37.16667,85,36,51.7383349,95.04167
Avesh Khan,8,Bowler,Lucknow Super Giants,10,41,25,3,3,20.5,164,73.17073171,62,1335,1974,74,26.68,8.87,18.04,39.74194,45.66667,48,43.3953795,44.60417
Abdul Samad,6.5,Batter,Lucknow Super Giants,40,577,395,37,36,19.23,146.0759494,63.08492201,5,54,113,2,56.5,12.56,27,25.125,31.33333,29,27.9020823,34.66667
Aryan Juyal,5.5,Wicketkeeper/Batter,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akash Deep,7,Bowler,Lucknow Super Giants,3,19,12,2,1,9.5,158.3333333,73.68421053,8,164,319,7,45.57,11.67,23.43,32.125,27.25,38,31.90625,25.41667
Himmat Singh,5.5,Batter,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2.6,4
Manimaran Siddharth,6,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,30.9,17.2
Digvesh Singh,5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,0,26.845,40.91667
Shahbaz Ahmed,7,All-rounder,Lucknow Super Giants,37,536,440,28,25,19.14,121.8181818,48.88059701,42,537,837,21,39.86,9.35,25.57,35,18,40,30.83,18
Akash Singh,6,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,7,138,227,5,45.4,9.87,27.6,22.85714,0,0,22.85714,0
Shamar Joseph,6.5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,1,24,47,0,0,11.75,0,75,0,25,56.25,0
Prince Yadav,5.5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,0,20.67,29.23333
Yuvraj Chaudhary,5,All-rounder,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajvardhan Hangargekar,5.5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,2,36,60,3,20,10,12,85.5,0,0,85.5,0
Arshin Kulkarni,6,All-rounder,Lucknow Super Giants,2,9,8,2,0,4.5,112.5,88.88888889,0,0,0,0,0,0,0,46,0,22,36.5,0
Shardul Thakur,7.5,All-rounder,Lucknow Super Giants,37,307,221,27,13,12.28,138.9140271,60.58631922,92,1866,2869,94,30.52,9.23,19.85,38.05435,49.55556,44,42.9277681,46.625
Matthew Breetzke,6.5,Batter,Lucknow Super Giants,10,151,123,13,6,16.78,122.7642276,58.2781457,0,0,0,0,0,0,0,31.4,0,0,31.4,0
Jasprit Bumrah,9,Bowler,Mumbai Indians,30,68,78,5,1,9.71,87.17948718,38.23529412,133,3053,3716,165,22.52,7.3,18.5,40.40602,67,62,53.4008294,49.77778
Suryakumar Yadav,9,Batter,Mumbai Indians,135,3594,2473,385,130,32.09,145.3295592,64.55203116,1,6,8,0,0,8,0,44.36296,87.7,50,59.0375912,88.04167
Hardik Pandya,9,All-rounder,Mumbai Indians,128,2525,1734,189,136,28.69,145.6170704,62.25742574,93,1418,2150,64,33.59,9.1,22.16,48.00781,70.66667,62,58.1103384,75.95833
Rohit Sharma,9,Batter,Mumbai Indians,252,6628,5054,599,280,29.72,131.1436486,61.49668075,32,339,453,15,30.2,8.02,22.6,44.38095,54.55556,44,47.4512701,56.20833
Tilak Varma,8,Batter,Mumbai Indians,38,1156,790,90,58,39.86,146.3291139,61.24567474,4,22,28,0,0,7.64,0,53,51.5,53,52.535,53.33333
Trent Boult,8.5,Bowler,Mumbai Indians,27,83,78,5,3,10.38,106.4102564,45.78313253,103,2337,3230,121,26.69,8.29,19.31,38.76699,54.1,45,44.8914853,48.58333
Naman Dhir,6.5,All-rounder,Mumbai Indians,7,140,79,12,10,23.33,177.2151899,77.14285714,3,28,55,0,0,11.79,0,49.71429,43.9,35,41,33
Robin Minz,5.5,Wicketkeeper/Batter,Mumbai Indians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4.55,7
Karn Sharma,6.5,Bowler,Mumbai Indians,40,351,294,20,17,13.5,119.3877551,51.85185185,82,1495,2087,76,27.46,8.38,19.67,36.15854,42,32,37.0545138,38
